On invoice Independent project
Total Time Worked: 25 hours
Total Charges:     $0.00
Charges:
02-08-2019         1.5 hours       Stuck on assertThrows
02-09-2019         2 hours         Clock time 2hrs
02-09-2019         0.5 hours       Testing the test
02-10-2019         1.25 hours      Work on creating notes
02-10-2019         1.5 hours       New notes are storing, need arch work and refactoring
02-11-2019         1 hour          Removed methods and refined tests
02-12-2019         1.75 hours      Fix statement field order/Add user.id to getVideoNotes signature
02-12-2019         1 hour          Break out JSPs to import/Work on saving place in video
02-12-2019         1 hour          Restart video at same time as note submitted
02-12-2019         1.75 hours      Refactor, extend BaseData, place in session, stuck w/NoteData.setNewNote
02-14-2019         2 hours         Get make link form working
02-14-2019         0.5 hours       Work on UI
02-16-2019         2 hours         Make notes editable
02-16-2019         4.5 hours       Yesterday: controller, various
02-16-2019         0.75 hours      Refactor, document
02-16-2019         0.25 hours      Organize project doc files
02-17-2019         0.25 hours      Cue video at editing note's start time
02-18-2019         1.5 hours       Work on project docs for Checkpoint 1
